workload,phase,memory,memory_kind,capacity_kb,banks,weight_tiles,weights_fit,resident_state_mb,dram_traffic_mb,spill_traffic_mb,local_traffic_mb,compute_latency_ms,local_transfer_ms,dram_transfer_ms,latency_ms,target_latency_ms,meets_target,local_energy_nj,dram_energy_nj,refresh_energy_nj,endurance_cycles,array_equivalent_writes_per_inference,wear_limited_inferences,total_energy_nj,area_mm2,soft_error_fit
edge_cnn_block,cnn,eDRAM,edram,8192,16,1,True,3.1999998092651367,7.290417671203613,4.334027290344238,10.49041748046875,0.7120768229166666,0.1375,2.44625824,2.44625824,8.0,True,1291.0,114668.355,140.4,,0.3218650817871094,,116099.75499999999,2.32,144.0
edge_cnn_block,cnn,eMRAM,emram,4096,16,2,False,1.5999994277954102,10.14608923594157,7.189698855082194,10.49041748046875,0.7120768229166666,0.22916666666666666,3.404462613333334,3.404462613333334,8.0,True,3851.0,159584.18500000003,0.0,1000000000000,0.6437301635742188,1553445925925.926,163435.18500000003,1.6,28.0
edge_cnn_block,cnn,RRAM,rram,4096,16,2,False,1.5999994277954102,10.14608923594157,7.189698855082194,10.49041748046875,0.7120768229166666,0.34375,3.404462613333334,3.404462613333334,8.0,True,14164.0,159584.18500000003,0.0,10000000,0.6437301635742188,15534459.25925926,173748.18500000003,0.88,60.0
transformer_prefill_128,prefill,eDRAM,edram,8192,16,3,False,3.1999998092651367,33.99329853057861,22.07236957550049,27.0843505859375,2.1192762586805554,0.355,11.40625824,11.40625824,30.0,True,3307.0,534668.355,644.4,,0.7271766662597656,,538619.755,2.32,144.0
transformer_prefill_128,prefill,eMRAM,emram,4096,16,5,False,1.5999994277954102,45.70224666595459,33.781317710876465,27.0843505859375,2.1192762586805554,0.5916666666666667,15.33512928,15.33512928,30.0,True,9481.0,718834.185,0.0,1000000000000,1.4543533325195312,687590819672.1311,728315.185,1.6,28.0
transformer_prefill_128,prefill,RRAM,rram,4096,16,5,False,1.5999994277954102,45.70224666595459,33.781317710876465,27.0843505859375,2.1192762586805554,0.8875000000000001,15.33512928,15.33512928,30.0,True,32284.0,718834.185,0.0,10000000,1.4543533325195312,6875908.196721312,751118.185,0.88,60.0
transformer_decode_token,decode,eDRAM,edram,8192,16,3,False,3.1999998092651367,26.700965674027152,14.78003671894903,18.485069274902344,0.152587890625,0.2422875,8.959357370434782,8.959357370434782,10.0,True,2161.62,419969.8767391304,504.0,,0.11718273162841797,,422635.4967391304,2.32,144.0
transformer_decode_token,decode,eMRAM,emram,4096,16,5,False,1.5999994277954102,39.716862263886824,27.795933308808703,18.485069274902344,0.152587890625,0.40381249999999996,13.326767540869564,13.326767540869564,10.0,False,4785.25,624692.2284782609,0.0,1000000000000,0.23436546325683594,4266840284842.3193,629477.4784782609,1.6,28.0
transformer_decode_token,decode,RRAM,rram,4096,16,5,False,1.5999994277954102,39.716862263886824,27.795933308808703,18.485069274902344,0.152587890625,0.6057187500000001,13.326767540869564,13.326767540869564,10.0,False,6387.0,624692.2284782609,0.0,10000000,0.23436546325683594,42668402.8484232,631079.2284782609,0.88,60.0
